,locations,timeOfDay,stayTime,locationType,placeID,randomized_stay_time,,openHours,parking,diner
1401,Gangaramaya Temple,Evening,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,34.812665274929245,,,,
2835,Gangaramaya Temple,Evening,90,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,84.37467262491963,,,,
2839,Gangaramaya Temple,Morning,90,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,96.07203149448783,,,,
221,Gangaramaya Temple,Night,120,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,118.1635145,,,,
686,Gangaramaya Temple,Night,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,26.37565290051141,,,,
685,Gangaramaya Temple,Morning,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,64.95080560524022,,,,
779,Gangaramaya Temple,Morning,60,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,59.828333039781135,,,,
780,Gangaramaya Temple,Evening,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,48.24899674597413,,,,
1385,Gangaramaya Temple,Evening,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,36.17591403726427,,,,
1700,Gangaramaya Temple,Night,150,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,152.71239322505485,,,,
2021,Gangaramaya Temple,Night,180,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,180.21278151413387,,,,
2028,Gangaramaya Temple,Night,180,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,177.7156969982986,,,,
1402,Gangaramaya Temple,Night,60,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,63.50033239541236,,,,
2944,Gangaramaya Temple,Morning,120,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,111.75130036506323,,,,
261,Gangaramaya Temple,Morning,60,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,48.77088855,,,,
2946,Gangaramaya Temple,Night,120,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,125.09601296852051,,,,
298,Gangaramaya Temple,Evening,60,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,54.61803074955994,,,,
299,Gangaramaya Temple,Night,120,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,108.07937151111841,,,,
177,Gangaramaya Temple,Morning,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,50.510100463029545,,,,
3266,Gangaramaya Temple,Night,120,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,108.62597801260739,,,,
2556,Gangaramaya Temple,Night,90,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,92.64574117378386,,,,
1590,Gangaramaya Temple,Night,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,43.77952112704033,,,,
577,Gangaramaya Temple,Night,60,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,45.34369858898942,,,,
576,Gangaramaya Temple,Evening,200,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,204.80987463871003,,,,
2945,Gangaramaya Temple,Evening,120,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,132.77020372727569,,,,
922,Gangaramaya Temple,Evening,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,32.80733096042464,,,,
2555,Gangaramaya Temple,Evening,90,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,86.52501465,,,,
2554,Gangaramaya Temple,Morning,90,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,93.23993840896178,,,,
3265,Gangaramaya Temple,Evening,120,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,102.99126754943312,,,,
3264,Gangaramaya Temple,Morning,120,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,127.62728995884086,,,,
2546,Gangaramaya Temple,Morning,90,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,90.87751490882917,,,,
1740,Gangaramaya Temple,Night,150,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,154.23039857040757,,,,
3256,Gangaramaya Temple,Morning,120,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,124.30108044679557,,,,
2536,Gangaramaya Temple,Evening,90,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,99.40860510858988,,,,
2965,Gangaramaya Temple,Morning,120,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,112.40711994354403,,,,
3246,Gangaramaya Temple,Evening,120,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,113.26740592110826,,,,
1283,Gangaramaya Temple,Night,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,48.94090584,,,,
297,Gangaramaya Temple,Morning,60,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,62.95801464,,,,
900,Gangaramaya Temple,Night,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,45.29793648053505,,,,
575,Gangaramaya Temple,Morning,60,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,69.69156945625718,,,,
899,Gangaramaya Temple,Evening,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,39.31690721331468,,,,
1320,Gangaramaya Temple,Morning,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,52.51335301973233,,,,
898,Gangaramaya Temple,Morning,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,37.804881392539116,,,,
1321,Gangaramaya Temple,Evening,45,Religious Site,ChIJQ9yCmWtZ4joRNu1evW41NTo,38.47199794630755,,,,
2216,Independence Memorial Hall,Morning,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,89.48386265609736,,,,
1181,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,60.089854114887494,,,,
3258,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,133.61289610795706,,,,
1182,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,115.8207625383502,,,,
1183,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,117.75267869737401,,,,
3199,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,134.95825285728486,,,,
3259,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,114.31967492906966,,,,
3440,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,116.93600749515333,,,,
3362,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,118.75156622427532,,,,
3476,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,119.67977977704712,,,,
2257,Independence Memorial Hall,Evening,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,106.14347091837575,,,,
225,Independence Memorial Hall,Morning,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,48.78470067917664,,,,
226,Independence Memorial Hall,Evening,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,44.64306515068756,,,,
227,Independence Memorial Hall,Night,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,47.05869185453715,,,,
2004,Independence Memorial Hall,Morning,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,177.00733494992372,,,,
141,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,67.29051064142993,,,,
142,Independence Memorial Hall,Evening,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,56.40995721572918,,,,
143,Independence Memorial Hall,Night,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,63.329656246042575,,,,
2005,Independence Memorial Hall,Evening,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,171.61917085041068,,,,
3221,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,118.25953356780302,,,,
3283,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,128.11652949417854,,,,
3361,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,106.43671633769917,,,,
1387,Independence Memorial Hall,Evening,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,55.59099645604185,,,,
183,Independence Memorial Hall,Morning,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,52.89568905033356,,,,
3222,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,107.39891474414847,,,,
2151,Independence Memorial Hall,Evening,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,188.28027060151038,,,,
338,Independence Memorial Hall,Night,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,68.87471684241665,,,,
184,Independence Memorial Hall,Evening,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,56.28753155153572,,,,
1323,Independence Memorial Hall,Morning,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,45.472075136167895,,,,
1287,Independence Memorial Hall,Morning,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,48.756072534832235,,,,
1288,Independence Memorial Hall,Evening,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,43.33652084922678,,,,
1289,Independence Memorial Hall,Night,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,49.52004077,,,,
1324,Independence Memorial Hall,Evening,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,46.07963021,,,,
1500,Independence Memorial Hall,Night,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,53.20564462461308,,,,
1425,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,84.29938404334952,,,,
3254,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,125.25218974550268,,,,
1499,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,82.18235828747017,,,,
1426,Independence Memorial Hall,Evening,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,41.20227156986634,,,,
3141,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,129.52478903187784,,,,
3375,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,124.43711386968448,,,,
2258,Independence Memorial Hall,Night,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,97.52155066175396,,,,
3400,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,129.35191799041175,,,,
1992,Independence Memorial Hall,Morning,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,179.35039364648688,,,,
396,Independence Memorial Hall,Evening,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,60.10593577794044,,,,
3223,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,113.94514675054256,,,,
336,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,99.43181371560168,,,,
1449,Independence Memorial Hall,Evening,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,48.339064679604746,,,,
3401,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,120.09605802228086,,,,
2145,Independence Memorial Hall,Evening,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,203.9738354793057,,,,
395,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,63.53541629199975,,,,
2146,Independence Memorial Hall,Night,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,172.40182123582363,,,,
1405,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,108.54977106046856,,,,
1404,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,43.326151,,,,
337,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,125.47711022417863,,,,
397,Independence Memorial Hall,Night,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,78.27840922851064,,,,
3340,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,126.32342857209258,,,,
3339,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,119.1042276980279,,,,
1864,Independence Memorial Hall,Evening,150,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,157.16730683165167,,,,
1220,Independence Memorial Hall,Night,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,38.685746924749765,,,,
1870,Independence Memorial Hall,Evening,150,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,151.78316873202075,,,,
1359,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,57.387962776144605,,,,
2100,Independence Memorial Hall,Evening,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,178.50577929626334,,,,
368,Independence Memorial Hall,Night,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,34.69914611551164,,,,
2099,Independence Memorial Hall,Morning,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,152.16263964360166,,,,
3270,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,110.51511972036012,,,,
1469,Independence Memorial Hall,Morning,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,33.247360220949425,,,,
3271,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,121.29923983047354,,,,
2175,Independence Memorial Hall,Night,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,181.96873164755556,,,,
1470,Independence Memorial Hall,Evening,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,53.987577922878216,,,,
3272,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,105.95071630505399,,,,
1219,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,130.1232961,,,,
3422,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,121.76127498883929,,,,
3451,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,123.23585679849256,,,,
2218,Independence Memorial Hall,Night,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,102.7476124174043,,,,
367,Independence Memorial Hall,Evening,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,69.14741264773896,,,,
366,Independence Memorial Hall,Morning,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,56.161840784374796,,,,
3460,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,121.93926838469379,,,,
269,Independence Memorial Hall,Night,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,53.29591957076957,,,,
2217,Independence Memorial Hall,Evening,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,78.11517677927377,,,,
1894,Independence Memorial Hall,Night,150,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,145.79957145797215,,,,
1233,Independence Memorial Hall,Evening,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,36.596296733975166,,,,
268,Independence Memorial Hall,Evening,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,42.36169407871883,,,,
267,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,57.48339574881587,,,,
3298,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,108.95264313144794,,,,
1471,Independence Memorial Hall,Night,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,40.04682935,,,,
2047,Independence Memorial Hall,Evening,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,201.26369821984156,,,,
1218,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,68.60658344502389,,,,
3169,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,130.09566775387643,,,,
2022,Independence Memorial Hall,Morning,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,188.95537877314646,,,,
2241,Independence Memorial Hall,Night,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,91.78727040094412,,,,
2023,Independence Memorial Hall,Evening,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,188.12178341512524,,,,
3324,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,137.60886663077267,,,,
1252,Independence Memorial Hall,Evening,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,46.422062599898695,,,,
1202,Independence Memorial Hall,Evening,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,63.30436000418334,,,,
1203,Independence Memorial Hall,Night,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,42.23261097453276,,,,
2240,Independence Memorial Hall,Evening,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,101.1192369736266,,,,
2239,Independence Memorial Hall,Morning,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,104.0856466337525,,,,
1253,Independence Memorial Hall,Night,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,66.46268618469308,,,,
185,Independence Memorial Hall,Night,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,44.70351299985231,,,,
2064,Independence Memorial Hall,Morning,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,192.59094932637663,,,,
1360,Independence Memorial Hall,Evening,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,53.279894884784724,,,,
1340,Independence Memorial Hall,Evening,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,62.33225365001903,,,,
3297,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,105.04142872176898,,,,
3323,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,108.20744408639163,,,,
3322,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,123.11627415256369,,,,
305,Independence Memorial Hall,Night,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,52.93710394868341,,,,
304,Independence Memorial Hall,Evening,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,75.16654031973263,,,,
303,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,110.63788721350727,,,,
3159,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,135.06225960332827,,,,
3160,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,109.81241942188493,,,,
2042,Independence Memorial Hall,Evening,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,183.00590685179833,,,,
2043,Independence Memorial Hall,Night,180,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,193.10556672614513,,,,
1865,Independence Memorial Hall,Night,150,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,156.12554962032746,,,,
1361,Independence Memorial Hall,Night,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,75.44360821563076,,,,
3296,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,130.91992609936648,,,,
3248,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,120.48986866057378,,,,
2795,Independence Memorial Hall,Night,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,91.99473907294184,,,,
2276,Independence Memorial Hall,Evening,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,91.40879385390946,,,,
2949,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,126.54110403945074,,,,
3573,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,122.18129296615759,,,,
1724,Independence Memorial Hall,Evening,150,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,143.86241375171883,,,,
2586,Independence Memorial Hall,Morning,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,71.46768572377393,,,,
2587,Independence Memorial Hall,Evening,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,103.2789724878534,,,,
2588,Independence Memorial Hall,Night,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,89.07066060905095,,,,
882,Independence Memorial Hall,Night,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,68.88606215931996,,,,
881,Independence Memorial Hall,Evening,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,58.24929382479211,,,,
880,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,55.278317187501194,,,,
600,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,54.61449706579266,,,,
1723,Independence Memorial Hall,Morning,150,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,145.2208556,,,,
3574,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,119.29627961754245,,,,
2928,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,120.62412653709069,,,,
2927,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,108.46491934069348,,,,
2926,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,103.2405057314566,,,,
2612,Independence Memorial Hall,Morning,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,92.14641405204004,,,,
2613,Independence Memorial Hall,Evening,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,101.17550540944163,,,,
2614,Independence Memorial Hall,Night,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,79.13321171,,,,
614,Independence Memorial Hall,Evening,45,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,58.55312671145766,,,,
2629,Independence Memorial Hall,Evening,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,71.87138979779337,,,,
2630,Independence Memorial Hall,Night,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,88.95213719723445,,,,
2906,Independence Memorial Hall,Night,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,100.11914664499598,,,,
2905,Independence Memorial Hall,Evening,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,86.12794523724095,,,,
2904,Independence Memorial Hall,Morning,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,107.84128197815399,,,,
849,Independence Memorial Hall,Night,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,79.42286099345398,,,,
2950,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,132.38592532923184,,,,
2951,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,126.5799580350955,,,,
2573,Independence Memorial Hall,Night,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,63.60400215169763,,,,
3572,Independence Memorial Hall,Morning,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,128.1645139417184,,,,
558,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,134.73837857614475,,,,
1742,Independence Memorial Hall,Evening,150,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,156.95249727168212,,,,
2968,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,113.89698784053354,,,,
2967,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,115.04805266195096,,,,
2538,Independence Memorial Hall,Evening,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,85.01253173065028,,,,
2275,Independence Memorial Hall,Morning,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,86.83813846134123,,,,
2544,Independence Memorial Hall,Morning,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,94.31086508990475,,,,
3564,Independence Memorial Hall,Night,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,97.81670753770872,,,,
2548,Independence Memorial Hall,Evening,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,93.38335552,,,,
2549,Independence Memorial Hall,Night,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,93.21177362758141,,,,
927,Independence Memorial Hall,Night,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,69.33419032628052,,,,
926,Independence Memorial Hall,Evening,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,66.47179278866776,,,,
848,Independence Memorial Hall,Evening,120,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,124.46770003626064,,,,
925,Independence Memorial Hall,Morning,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,71.38061637364649,,,,
2561,Independence Memorial Hall,Evening,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,94.62081703331182,,,,
2562,Independence Memorial Hall,Night,90,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,86.79564336666049,,,,
59,Independence Memorial Hall,Night,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,67.13221437830236,,,,
58,Independence Memorial Hall,Evening,60,Museums and Galleries,ChIJC46ViHtZ4joRCya8Jp8IxcE,30.216253354385913,,,,
